ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,3,93026,27006,27,ACTIVO,CABAÑA CHILA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,4,10,0
2024,3,93584,27495,27,ACTIVO,POSADA NATIVA KEVELIN,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,5,0
2024,3,94035,27495,27,ACTIVO,POSADA NATIVA BRISA Y MAR,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),5,9,0
2024,2,94418,27361,27,ACTIVO,HOTEL NICOVA,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,35,44,0
2024,3,94494,27075,27,ACTIVO,POSADA DON AI,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),10,20,0
2024,3,94915,27001,27,ACTIVO,SHAIRA HOTEL,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,25,3
2024,2,94917,27361,27,ACTIVO,HOTEL LAS AMERICAS DEL SAN JUAN M.S,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,41,47,6
2024,2,95274,27361,27,ACTIVO,HOTEL CALLE REAL ISTMINA,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,40,51,1
2024,2,95845,27075,27,ACTIVO,MECANA ECOHOTEL,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,6,10,3
2024,2,96235,27006,27,ACTIVO,JAIME DARIO CASAS ARANGO,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,12,0
